Delta_Secs, Player_Loc, Collision_Zone_loc, DTC_uu, Estimated_Gaze_FV
0.06658,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066375,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066853,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066669,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066518,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066449,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066463,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066479,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067036,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066529,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066897,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066512,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066852,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066702,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066308,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067077,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.12621,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.054769,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.019554,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067192,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066412,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066859,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066596,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066104,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067327,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066032,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067543,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066716,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066016,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066739,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066912,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066473,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066931,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066434,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066994,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066551,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066542,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.06634,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066756,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066972,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066273,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066781,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066853,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066643,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066502,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066501,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.06666,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.06627,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067182,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066618,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066982,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066205,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067294,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.065964,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066639,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066644,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
